X (waste),Y (impact),n,r,p,R2,b,a,k_backtransform
Zirconium,Ecosystem Quality,1584,0.6507692557924842,1.9070067578379608e-191,0.4235006242847039,0.43688206277770547,-0.3031094939568977,0.7385182286602034
Zirconium,Human Health,1582,0.6294718633549536,2.448584668624096e-175,0.39623482675555743,0.4755749381183886,6.69784219777051,810.6547040327409
Zirconium,Natural Resources,1584,0.5026928503677695,3.424858090909896e-102,0.25270010181087277,0.3931318238173361,15.069885803542627,3505647.5212516254
Zinc,Ecosystem Quality,1584,0.802863362107628,0.0,0.6445895782147639,0.5548498325007247,-11.397817267526452,1.1219948279770719e-05
Zinc,Human Health,1582,0.8554420730018216,0.0,0.7317811402616536,0.6655570590926234,-5.426970084802302,0.004396396350845432
Zinc,Natural Resources,1584,0.7680370529248508,1.692348807507388e-308,0.5898809146654902,0.6183214290898322,4.998311064675801,148.16271043093025
Water,Ecosystem Quality,1584,0.8470070272343624,0.0,0.7174209041843922,0.6364235054093883,-16.51480042400376,6.725325460623418e-08
Water,Human Health,1582,0.8948176907430261,0.0,0.800698699666682,0.7575613120707428,-11.516002523040981,9.969276712204215e-06
Water,Natural Resources,1584,0.8261332587039076,0.0,0.6824961611367378,0.7231153994347542,-0.8246364620841362,0.43839433646280607
Waste - Total,Ecosystem Quality,1584,0.8323707506146173,0.0,0.6928410664787412,0.6436990878207177,-16.901070325222012,4.570444288771938e-08
Waste - Total,Human Health,1582,0.8826355093361168,0.0,0.7790454423410261,0.7688815581692979,-11.999744564991017,6.145782000728792e-06
Waste - Total,Natural Resources,1584,0.8408065276745853,0.0,0.7069556169801929,0.7574613258247159,-1.5030879277770826,0.2224422130411418
Waste - Recycled,Ecosystem Quality,1584,0.8519482742619426,0.0,0.7258158620179023,0.6957174128674078,-13.873297863118793,9.438506782630065e-07
Waste - Recycled,Human Health,1582,0.8806553967568579,0.0,0.7755539278369787,0.8097153565936304,-8.293838772080463,0.0002500527225639474
Waste - Recycled,Natural Resources,1584,0.8016431679614042,0.0,0.6426317687391961,0.7626039447635665,2.292316926073932,9.897843707302831
Waste - Radioactive,Ecosystem Quality,1584,0.8189250455206329,0.0,0.6706382301809708,0.5541287031196725,-9.589560159397934,6.843951746837936e-05
Waste - Radioactive,Human Health,1582,0.8813739359999486,0.0,0.7768200150600413,0.6718144019192047,-3.241344707535146,0.03911126650710427
Waste - Radioactive,Natural Resources,1584,0.8512265965564938,0.0,0.7245867186851516,0.6709806311884914,7.148348381315345,1272.0033547966566
Waste - Openly Burned,Ecosystem Quality,1584,0.7874332629300863,0.0,0.6200511435687223,0.637762805032561,-11.354366284211059,1.171821271445625e-05
Waste - Openly Burned,Human Health,1582,0.8030970596379262,0.0,0.6449648871990827,0.732370590443048,-5.356322500711752,0.004718225512979581
Waste - Openly Burned,Natural Resources,1584,0.7279104864541209,1.500670972473752e-261,0.529853676289875,0.6867864415293379,5.060479547894353,157.66610664678137
Waste - Landfilled,Ecosystem Quality,1584,0.8623624916951381,0.0,0.7436690670826472,0.849139860920904,-16.547381268572998,6.509739729927319e-08
Waste - Landfilled,Human Health,1582,0.8973848677129961,0.0,0.8052996008002715,0.9952025869584782,-11.452137213473979,1.0626738707596245e-05
Waste - Landfilled,Natural Resources,1584,0.825828876988564,0.0,0.681993334068193,0.9472786312303287,-0.7468939449324239,0.47383603022349197
Waste - Incinerated,Ecosystem Quality,1584,0.8156136964868247,0.0,0.6652257018969021,0.6678325148607644,-13.110320553314693,2.0242312617370574e-06
Waste - Incinerated,Human Health,1582,0.8419875592347992,0.0,0.7089430499061744,0.7765660832324224,-7.40436608468125,0.0006085897974056649
Waste - Incinerated,Natural Resources,1584,0.817920811438437,0.0,0.6689944537841113,0.7801760502960028,2.9756712422282097,19.602777046153804
Waste - Hazardous %,Ecosystem Quality,1584,-0.03102956800191284,0.2170972812692661,0.0009628340903851118,-0.04499602846332636,-11.093266435162032,1.5214427005571788e-05
Waste - Hazardous %,Human Health,1582,-0.034458331642842684,0.1707238361496726,0.0011873766196082158,-0.05623531699875494,-5.06499947649921,0.006313914208142618
Waste - Hazardous %,Natural Resources,1584,0.08204628396704375,0.0010818243536815076,0.006731592712800882,0.13859758896089616,5.779104920380431,323.46952981824023
Waste - Hazardous,Ecosystem Quality,1584,0.8233184215625622,0.0,0.6778532232842689,0.6425484681776876,-12.428741746580204,4.001898251334034e-06
Waste - Hazardous,Human Health,1582,0.8720304861280188,0.0,0.7604371687366691,0.7664888887611561,-6.655009885491698,0.0012875554151084295
Waste - Hazardous,Natural Resources,1584,0.8926885553702169,0.0,0.7968928568889649,0.8115893377211452,3.6352439493586566,37.91110015773407
Waste - Digested,Ecosystem Quality,1584,0.61352469982765,1.8958141519171823e-164,0.37641255729860823,0.4153591623502445,-9.292952607118703,9.207080962532307e-05
Waste - Digested,Human Health,1582,0.5722561705340788,2.709995755074148e-138,0.3274771247143289,0.43617987139540104,-3.154729432517261,0.04264993911832803
Waste - Digested,Natural Resources,1584,0.4548722523688252,1.0184635458626254e-81,0.20690876597508834,0.3587397446178969,6.918988311906622,1011.2963603363295
Waste - Composted,Ecosystem Quality,1584,0.6131754907527354,3.2654858413013768e-164,0.3759841824598579,0.41498430107303724,-9.459573648516523,7.793981368755116e-05
Waste - Composted,Human Health,1582,0.5718684574929188,4.5655075078784415e-138,0.3270335326753302,0.43573194924622066,-3.329844727216605,0.03579866319420723
Waste - Composted,Natural Resources,1584,0.45455389273819063,1.3602921966629534e-81,0.20661924140344257,0.358369109602961,6.774907470266011,875.5983404044829
Waste - Circularity %,Ecosystem Quality,1584,-0.08228348982685704,0.0010461365397023135,0.006770572698086452,-0.14391299757763135,-11.034479979379238,1.6135641428713028e-05
Waste - Circularity %,Human Health,1582,-0.1488242327859597,2.716680546161146e-09,0.022148652264329605,-0.2930508685033761,-5.028408003590301,0.006549228624052631
Waste - Circularity %,Natural Resources,1584,-0.24254631422289388,1.2164926045579812e-22,0.058828714543110894,-0.49417446625764816,5.295485834716331,199.43449463471185
Vegetable Oil,Ecosystem Quality,1584,0.7865153967885765,0.0,0.6186064693854919,0.6100589591725148,-8.463952811814623,0.00021093662779270685
Vegetable Oil,Human Health,1582,0.7035349471142565,1.2060765250472097e-236,0.49496142181105907,0.6146771391177394,-2.3928740181534525,0.09136671657006219
Vegetable Oil,Natural Resources,1584,0.5973215025544494,8.531632017959472e-154,0.35679297741390514,0.5397231366184313,7.688041952482113,2182.0977254347617
Uranium,Ecosystem Quality,1584,0.8284253528531466,0.0,0.6862885652498603,0.5872208980474412,-8.38784551584588,0.0002276171479995072
Uranium,Human Health,1582,0.8943004764801974,0.0,0.799773342232708,0.7141220112588748,-1.774846778743385,0.16950941995614005
Uranium,Natural Resources,1584,0.8284826919142122,0.0,0.6863835708014197,0.6841161884179301,8.484207815451699,4837.763545053488
Tungsten,Ecosystem Quality,2,1.0,1.0,1.0,1.7758013118566618,-22.539950812615444,1.6256376150683936e-10
Tungsten,Human Health,2,1.0,1.0,1.0,1.2123951037101601,-10.515643464652657,2.710903570905641e-05
Tungsten,Natural Resources,2,1.0,1.0,1.0,1.3141008806353698,-2.3237674773547514,0.09790403866300225
Titanium,Ecosystem Quality,1584,0.8115227923198952,0.0,0.6585692424546798,0.6902029793055648,-10.092146422614528,4.140344688054719e-05
Titanium,Human Health,1582,0.8571384871313753,0.0,0.7346863861218627,0.8208025695059032,-3.8703701941666306,0.02085064920760601
Titanium,Natural Resources,1584,0.8160769339533605,0.0,0.6659815621307174,0.8085474591538064,6.504470643195166,668.1219008531566
Tin,Ecosystem Quality,1584,0.8241714760519812,0.0,0.6792586219377008,0.6757327962612028,-9.70776302665246,6.0809591490725573e-05
Tin,Human Health,1582,0.8819021141261937,0.0,0.77775133890025,0.8141436063398678,-3.3933713997780295,0.033595222830729854
Tin,Natural Resources,1584,0.7991487108379893,0.0,0.6386386620340202,0.7632790231828084,6.901110808134587,993.3775548388616
Tellurium,Ecosystem Quality,1584,0.7520500011020663,1.0306261857404242e-288,0.5655792041576178,0.5556480929010594,-0.020858470453969602,0.9793575627926199
Tellurium,Human Health,1582,0.7220273057395903,4.753920558735066e-255,0.5213234302335717,0.6007058859320812,6.921047664743434,1013.3811222582569
Tellurium,Natural Resources,1584,0.6352231084018891,1.0045365680919282e-179,0.403508397447758,0.5467360446591553,16.24624383183361,11367214.305944009
Tantalum,Ecosystem Quality,1584,0.752852069540428,1.139788184499114e-289,0.5667862386113055,0.5300599769866423,-7.041396067538667,0.0008749042837950712
Tantalum,Human Health,1582,0.7992790658881357,0.0,0.6388470251670111,0.6337446298949893,-0.21729132658862316,0.8046955059573252
Tantalum,Natural Resources,1584,0.7864191610951096,0.0,0.6184550969375361,0.6450119449203278,10.25750065406622,28495.477061502348
Strontium,Ecosystem Quality,1584,0.785086696966099,0.0,0.6163611217531393,0.5231793536004075,-7.1806196844475885,0.0007611959946482172
Strontium,Human Health,1582,0.8414455791151669,0.0,0.7080306626124587,0.6312704202221423,-0.3412839401827519,0.7108570386708589
Strontium,Natural Resources,1584,0.7621030008646345,5.681699469826944e-301,0.5808009839268813,0.5916228732148133,9.76048014108523,17334.952900281427
Silver,Ecosystem Quality,1584,0.7608732025065195,1.9347071330800732e-299,0.5789280302925269,0.5041809221263984,-6.428702746137889,0.0016145439499166876
Silver,Human Health,1582,0.8092263571009007,0.0,0.6548472970267942,0.6038742243056546,0.5248765136946183,1.6902501127497662
Silver,Natural Resources,1584,0.7661926990283051,3.9047667704085413e-306,0.5870512520442792,0.5914396481432803,10.80338715231505,49187.12357714121
Silicon,Ecosystem Quality,1584,0.7900631257036748,0.0,0.6241997425966608,0.5845345247766636,-9.247203634540988,9.638079149615582e-05
Silicon,Human Health,1582,0.8381531672926196,0.0,0.7025007318426494,0.6983762366933308,-2.85636878456571,0.05747709349414502
Silicon,Natural Resources,1584,0.7573270801037223,4.498311997333461e-295,0.57354430625843,0.6527248800485583,7.398882499746228,1634.157238114085
Selenium,Ecosystem Quality,1584,0.7143207591539597,1.6405484666864957e-247,0.5102541469582891,0.4796091606426437,-0.37422097215468675,0.6878249048836675
Selenium,Human Health,1582,0.6683432717031269,2.672038474415643e-205,0.4466827288308395,0.5052684086852641,6.246431173462715,516.1674216732695
Selenium,Natural Resources,1584,0.5609178622748672,5.889760869361825e-132,0.31462884821900683,0.43872438553603565,15.163998557406062,3851597.5082382103
Sand,Ecosystem Quality,1584,0.7933347980304959,0.0,0.6293801017660874,0.6959464020488223,-14.250759006254018,6.471038752535418e-07
Sand,Human Health,1582,0.8571871428900619,0.0,0.7347697979360273,0.8470463577648207,-8.907797924182578,0.0001353295119593919
Sand,Natural Resources,1584,0.8030273833066921,0.0,0.6448529783403932,0.8206310606053226,1.6077015687413514,4.991325814399293
Rhodium,Ecosystem Quality,1584,0.8263342607876558,0.0,0.6828283105514816,0.6167796367771013,0.5151195667834347,1.6738386253336472
Rhodium,Human Health,1582,0.8885662604223585,0.0,0.7895499991609742,0.7471751883446943,8.998082624168099,8087.562155579289
Rhodium,Natural Resources,1584,0.8368996822321049,0.0,0.7004010781201983,0.7276892787638912,19.026627989292137,183298767.5833309
Rare Earth,Ecosystem Quality,1584,0.7565658397994437,3.8068549317900394e-294,0.5723918699514372,0.4854225720870579,-9.0524943691239,0.00011709858523406429
Rare Earth,Human Health,1582,0.8062540983795878,0.0,0.650045671153882,0.5824310182509199,-2.6132381358934262,0.07329681402581548
Rare Earth,Natural Resources,1584,0.825778061008962,0.0,0.6819094060437207,0.617212745025235,7.916001793140174,2740.7908610103636
Platinum,Ecosystem Quality,1584,0.8379352102811815,0.0,0.7021354166289682,0.6710036314947213,-8.647014075312523,0.00017565054520789233
Platinum,Human Health,1582,0.8755828002999887,0.0,0.7666452401811702,0.7895022632872735,-2.181545616081523,0.11286694678737318
Platinum,Natural Resources,1584,0.817653817812398,0.0,0.6685577657831903,0.7627499811193361,8.116078843480473,3347.8674615679565
Phosphate Rock,Ecosystem Quality,1584,0.712998047439181,3.447585779941767e-246,0.5083662156520847,0.486384338641804,-11.39585158959948,1.1242024774977266e-05
Phosphate Rock,Human Health,1582,0.6623224856882676,2.306141216045091e-200,0.4386710750482852,0.5088011256477457,-5.360570018328243,0.004698227268508826
Phosphate Rock,Natural Resources,1584,0.5354740290233109,3.1300992546276877e-118,0.28673243575845764,0.4255278214022807,5.098179503629392,163.72357764937897
Petroleum,Ecosystem Quality,1584,0.851876089021192,0.0,0.7256928710460417,0.8468658129939716,-15.494765586495497,1.8651287106407365e-07
Petroleum,Human Health,1582,0.8795712543419087,0.0,0.7736455914645985,0.9847004985020803,-10.176478909135792,3.805496830435106e-05
Petroleum,Natural Resources,1584,0.8529582223386019,0.0,0.7275377290550278,0.987789121524684,0.19829375537562566,1.2193205231761495
Palladium,Ecosystem Quality,1584,0.7582590282200652,3.257210487048106e-296,0.5749567538772373,0.5256198731466623,-3.919590355721147,0.019849224200297375
Palladium,Human Health,1582,0.8067607468930539,0.0,0.6508629027274381,0.6297973642955126,3.533442921033058,34.24165622062101
Palladium,Natural Resources,1584,0.7903006322999178,0.0,0.6245750894136495,0.6381823995452104,14.037135987718958,1248103.7877551196
Natural Gas,Ecosystem Quality,1584,0.8118866092062591,0.0,0.6591598662084369,0.6371123510837258,-14.427884439619916,5.420625481795043e-07
Natural Gas,Human Health,1582,0.8754914463391444,0.0,0.7664852726130067,0.7740162911722265,-9.115997678149789,0.00010989362800743054
Natural Gas,Natural Resources,1584,0.8475066034182555,0.0,0.7182674428375482,0.774750816718528,1.2719932971426022,3.567957478345204
Magnesium,Ecosystem Quality,1584,0.7975165642384889,0.0,0.6360326702347636,0.6269283678339987,-10.077339534143288,4.202106431302025e-05
Magnesium,Human Health,1582,0.8460860740139916,0.0,0.7158616446404092,0.7489184349680236,-3.845764386705179,0.021370060326439077
Magnesium,Natural Resources,1584,0.794158983063749,0.0,0.6306884903808476,0.7272503993799155,6.511396392556148,672.7652063058819
Lithium,Ecosystem Quality,1584,0.5960363245066755,5.624741616506461e-153,0.35525930013142726,0.3077370475926627,-8.414347123504333,0.00022166415796219982
Lithium,Human Health,1582,0.5535611836682643,1.0473761225217688e-127,0.30642998406420996,0.32175221775373697,-2.2436117325948897,0.10607469824875566
Lithium,Natural Resources,1584,0.5171856460000526,4.566912380737646e-109,0.2674809924284919,0.3110654837831295,8.056494505354442,3154.213652356509
Lead,Ecosystem Quality,1584,0.8132845838449758,0.0,0.6614318143198956,0.6726759639434214,-10.411050957024363,3.0098026383177488e-05
Lead,Human Health,1582,0.8402991829597994,0.0,0.7061027168829064,0.7822947461749656,-4.263804403425718,0.014068677544485262
Lead,Natural Resources,1584,0.7463558128534795,4.988891860935675e-282,0.5570469993801782,0.7191303123270038,6.071800032790226,433.46022237802777
Latex,Ecosystem Quality,1584,0.7595533234977303,8.330809638857067e-298,0.5769212512364479,0.538813010993167,-7.480776046034488,0.0005638196957102385
Latex,Human Health,1582,0.8072178690080988,0.0,0.6516006880459757,0.6445645291949272,-0.7393071859265001,0.47744458128809214
Latex,Natural Resources,1584,0.7046193335907543,5.540275990266221e-238,0.4964884052698789,0.5822810645334247,9.245172638977284,10354.460157675807
Indium,Ecosystem Quality,1584,0.697493370858647,3.147305305202158e-231,0.4864970023917584,0.47151266989340324,-5.096921383777496,0.006115545030178404
Indium,Human Health,1582,0.6770741835714038,1.1456825527082778e-212,0.4584294500588829,0.5153138708519304,1.5032827619028577,4.496425563443684
Indium,Natural Resources,1584,0.5897866797333553,4.795270104851696e-149,0.3478483275908957,0.4644581078718283,11.257943419117199,77493.0411050673
Hydrogen,Ecosystem Quality,1584,0.7317355546605215,1.1749697439131706e-265,0.5354369219543411,0.43545444477944323,-10.012149043180756,4.485170102585689e-05
Hydrogen,Human Health,1582,0.7803732702418676,0.0,0.6089824409079871,0.523052220736186,-3.7639902135881593,0.02319101839095512
Hydrogen,Natural Resources,1584,0.7752069900503493,6.742544e-318,0.6009458774229223,0.5374085310195015,6.659342752539226,780.0380905573867
Holmium,Ecosystem Quality,4,0.9943325618686988,0.005667438131301328,0.9886972435923699,0.2439926813864894,-8.423121110604589,0.0002197277867698471
Holmium,Human Health,4,0.9692207892179867,0.03077921078201329,0.9393889382523374,0.19775950891544572,-1.9591284156138442,0.14098124443913332
